
gfdhfh,645646,52,F,"fdgfaeg,safasgfas,fasgfasg,dgsgdg"
sdgsdgsdg,9879546,52,M,"segdsgd,egsetet,wrwqtrewt,eftrtew"
ssdgs,828,52,M,"fsdgs,sdfzsdgdg,sdgdsg"
fhfh,85,52,F,"gdug,gdudfu"
xcbxcb,5,5,m,"dbhsfdhdsf,sdgshs"
fdhfh,79879,25,M,"dgsdh,esgsdhgsdh,aswfds"
ewff,9898,25,F,"gedg,dgdsg,sdgsg"
segseg,9889,5,F,"SDVAS,ASDFASDGVASDG"
dsgsdg,89798,85,F,"dsgsdgv,dsgsdgv,dsgsdg"
Mina,78946566,52,f,"wtwet,ewtwety,ewtewt"
Mina,979789,25,F,"dghg,sdgdsgh,dshdfh"
Rahul,9876543219,26,M,"Tomatoes, dal, rice, grapes"
Reldsvds,1234567891,25,M,"sgshg,sdgsdg,dsgsdg"
sysdyws,98984654676,52,M,"sdgdsg,dsgsdhg,dshsfh"
dsfsf,7878798,26,M,"saf,asfgsdgs,dgsdg"
sadasd,897,6,m,"sadasf,safsafsafsafsaf"
sfcasfa,8888,88,f,"sfas,fasfasf"
dgdsg,8798,25,F,"sgfsdg,sdgsdgs"
psafs,87978,65,M,"zFzf,xzgdgsd"
gdsgsd,89798,5,F,"zdgdg,dgdg"
fgdfgfdg,8888,52,F,"dg,sdfhfdh,fdh"
0,fxhfh,89798798,52,F,"dsh,sdfhfdh"
0,seghsdh,87987,5,m,"dsgsdh,dfhdfh"
0,0.0,fdhdfh,7897,52,F,"dsgdg,dsgdsgh"
1,0.0,dgsdgs,7998,66,M,"zdgbsdgh,dsghsfhsf"
0,,faetwetw,89986565,24,F,"fdgds,gdsghdfh"
dsfsdf,87979,52,F,"sdfas,fsfas"
sadfsf,89897798,50,M,"asfasf,safsafs"
dsfasf,8989898,54,O,"sdfsfg,dsfsdgsd,sdgfasdgf"
0,0.0,sgfadg,89798,52,F,"zxgzxg,sfasgfdzf"
1,0.0,safasf,7789,521,M,"bdfgd,fgdfh"
0,,dsgsdg,897789,15,O,"safasg,sdgdg"
asgsdg,877987,75,O,"gsdg,dgdsg,dsgsd"
0,0.0,hjvjh,8979,85,M,"safgszg,axfgzxg"
1,0.0,zXFz,855,12,F,"sfsagf,sdgdsg"
0,,fsdtast,89756,65,O,"asfasf,asgdsgds,gdsgds"
0,0.0,hjvjh,8979,26,M,"safgszg,axfgzxg"
1,0.0,zXFz,855,12,F,"sfsagf,sdgdsg"
0,,fsdtast,89756,65,O,"asfasf,asgdsgds,gdsgds"
0,0.0,hjvjh,8979,26,M,"safgszg,axfgzxg"
1,0.0,zXFz,855,12,F,"sfsagf,sdgdsg"
0,,fsdtast,89756,65,O,"yufruruyruy,ufytuytuy"
0,0.0,hjvjh,8979,26,M,"safgszg,axfgzxg"
0,,fsdtast,89756,65,O,"yufruruyruy,ufytuytuy"
hfjhfdj,899858,52,F,"hjgkh,hgh"
jyfjhk,8979,25,F,"hjgfh,uyfuyfyu,ygfuy"
0,0.0,Teena,9876543219,25,F,"Tomatoes, Banana, Dal and Rice, Water"
1,0.0,Rahul,1234567899,18,M,"Carrots, Water, Dal and Roti"
0,,Rekha ,1597538462,43,O,"Cereal, Mangoes, Water, Cucumber"
0,0.0,Teena,9876543219,25,F,"Tomatoes, Banana, Dal and Roti, Water, Cucumber"
1,0.0,Rahul,1234567899,18,M,"Carrots, Water, Dal and Roti"
0,,Rekha ,1597538462,43,O,"Cereal, Mangoes, Water, Cucumber"
0,0.0,Teena,9876543219,25,F,"Tomatoes, Banana, Dal and Roti, Water, Cucumber"
1,0.0,Rahul,1234567899,18,M,"Carrots, Water, Dal and Roti"
0,,Rekha ,1597538462,42,O,"Cereal, Mangoes, Water, Cucumber"
0,0.0,Teena,9876543219,25,F,"Tomatoes, Banana, Dal and Roti, Water, Cucumber"
0,,Rekha ,1597538462,42,O,"Cereal, Mangoes, Water, Cucumber"
